# sec(z), Tsys/Tatm, Tr, fit
2.17297 0.19622 42.82864 0.15466
2.18031 0.15929 31.70588 0.15481
2.18772 0.16993 34.85247 0.15497
2.19517 0.17348 35.87438 0.15512
2.20269 0.20860 46.36510 0.15528
2.21026 0.10713 15.87674 0.15543
2.21790 0.17533 36.29108 0.15559
2.22559 0.17104 34.95922 0.15575
2.23334 0.12545 21.23496 0.15591
2.24116 0.15128 28.93688 0.15607
2.24903 0.15457 29.87727 0.15623
2.25697 0.15859 31.03382 0.15640
2.26498 0.15190 28.98062 0.15656
2.27304 0.11349 17.41010 0.15673
2.28117 0.17536 35.92180 0.15690
2.28937 0.16100 31.56498 0.15707
2.29763 0.17036 34.32335 0.15724
2.30596 0.20615 45.00800 0.15741
2.31436 0.18800 39.51362 0.15758
2.32282 0.17676 36.08972 0.15776
2.33135 0.15080 28.25188 0.15793
2.33996 0.16963 33.84912 0.15811
2.34863 0.17239 34.62425 0.15829
2.35738 0.14821 27.31962 0.15847
2.36620 0.18172 37.32023 0.15865
2.37509 0.17347 34.78902 0.15884
2.38406 0.20612 44.53097 0.15902
2.39311 0.14408 25.86633 0.15921
2.40222 0.14327 25.56815 0.15940
2.41142 0.09693 11.60983 0.15959
2.42070 0.17555 35.14046 0.15978
2.43005 0.16956 33.28864 0.15997
2.43948 0.09641 11.28490 0.16017
2.44900 0.14069 24.51206 0.16037
2.45859 0.18419 37.50454 0.16056
2.46827 0.16994 33.17267 0.16076
2.47804 0.14235 24.83686 0.16097
2.48789 0.13879 23.71054 0.16117
2.49782 0.16582 31.76050 0.16137
2.50784 0.17832 35.44910 0.16158
2.51795 0.18312 36.82773 0.16179
2.52815 0.17295 33.71717 0.16200
2.53845 0.15237 27.47930 0.16221
2.54883 0.15061 26.89138 0.16243
2.55930 0.16040 29.76463 0.16264
2.56988 0.17075 32.80636 0.16286
2.58054 0.14132 23.91404 0.16308
2.59130 0.13929 23.23865 0.16331
2.60217 0.14761 25.66893 0.16353
2.61313 0.19844 40.85385 0.16376
2.62419 0.16021 29.31862 0.16398
2.63535 0.14809 25.61533 0.16422
2.64662 0.16869 31.72870 0.16445
2.65799 0.20900 43.75115 0.16468
2.66947 0.19871 40.59619 0.16492
2.68105 0.14030 23.00310 0.16516
2.69275 0.12546 18.48029 0.16540
2.70455 0.12944 19.60386 0.16564
2.71647 0.22734 48.90300 0.16589
2.72850 0.16795 31.01334 0.16614
2.74065 0.20668 42.56015 0.16639
2.75292 0.14696 24.57048 0.16664
2.76530 0.17724 33.57917 0.16690
2.77780 0.12300 17.23448 0.16716
2.79043 0.13435 20.56137 0.16742
2.80318 0.12391 17.35502 0.16768
2.81605 0.17857 33.67378 0.16795
2.82906 0.13439 20.34244 0.16822
2.84219 0.18289 34.81298 0.16849
2.85545 0.20242 40.59415 0.16876
2.86885 0.13522 20.35206 0.16904
2.88238 0.21125 43.08204 0.16932
2.89605 0.19862 39.20868 0.16960
2.90986 0.14931 24.33279 0.16989
2.92380 0.15075 24.68366 0.17017
2.93790 0.16127 27.75344 0.17047
2.95213 0.17163 30.77616 0.17076
2.96652 0.17008 30.22446 0.17106
2.98106 0.26128 57.49859 0.17136
2.99574 0.15650 25.97685 0.17166
3.01059 0.17694 32.01878 0.17197
3.02559 0.22574 46.56719 0.17228
3.04075 0.16470 28.16495 0.17259
3.05607 0.17980 32.60340 0.17291
3.07155 0.20133 38.96820 0.17323
3.08721 0.20050 38.62726 0.17355
3.10303 0.18873 34.99945 0.17388
3.11903 0.17272 30.10311 0.17421
3.13520 0.19498 36.68188 0.17454
3.15155 0.11781 13.43261 0.17488
3.16808 0.20664 39.98498 0.17522
3.18479 0.14670 21.90130 0.17557
3.20169 0.14937 22.60131 0.17591
3.21878 0.17989 31.65345 0.17627
3.23607 0.19634 36.48498 0.17663
3.25355 0.20010 37.50957 0.17699
3.27123 0.15107 22.69374 0.17735
3.28912 0.23401 47.46778 0.17772
3.30721 0.20640 39.07760 0.17809
3.32551 0.17110 28.37813 0.17847
3.34403 0.19498 35.42898 0.17886
3.36276 0.10366 7.92129 0.17924
3.38171 0.12702 14.81424 0.17963
3.40089 0.16356 25.66330 0.18003
3.42030 0.10593 8.25842 0.18043
3.43995 0.11838 11.87493 0.18084
3.45983 0.22634 44.14365 0.18125
3.47995 0.15030 21.21161 0.18166
3.50032 0.16197 24.59028 0.18208
3.52094 0.19782 35.21908 0.18251
3.54181 0.19500 34.25005 0.18294
3.56294 0.16388 24.78765 0.18338
3.58434 0.15251 21.24672 0.18382
3.60601 0.11890 11.03377 0.18427
3.62796 0.13617 16.08289 0.18472
3.65018 0.17958 28.97252 0.18518
3.67269 0.23453 45.32290 0.18564
3.69549 0.21617 39.67742 0.18612
3.71858 0.16333 23.68780 0.18659
3.74198 0.19806 33.96494 0.18708
