# sec(z), Tsys/Tatm, Tr, fit
1.48871 0.13703 29.17526 0.13791
1.49159 0.10666 20.04858 0.13798
1.49448 0.13774 29.35397 0.13804
1.49738 0.19458 46.39084 0.13810
1.50030 0.19461 46.38065 0.13817
1.50324 0.11965 23.87476 0.13823
1.50619 0.11458 22.33810 0.13829
1.50916 0.10056 18.11257 0.13836
1.51215 0.08937 14.73792 0.13842
1.51515 0.10402 19.11625 0.13849
1.51817 0.15460 34.27044 0.13856
1.52120 0.11396 22.06058 0.13862
1.52425 0.21227 51.53612 0.13869
1.52732 0.11432 22.13256 0.13875
1.53041 0.12412 25.05386 0.13882
1.53351 0.08785 14.15447 0.13889
1.53663 0.11514 22.32300 0.13896
1.53977 0.16424 37.03421 0.13903
1.54292 0.06655 7.70686 0.13909
1.54610 0.14430 31.01473 0.13916
1.54929 0.10326 18.68169 0.13923
1.55250 0.08404 12.89557 0.13930
1.55572 0.11516 22.21245 0.13937
1.55897 0.09642 16.57201 0.13944
1.56223 0.10348 18.67112 0.13952
1.56551 0.12108 23.93006 0.13959
1.56881 0.09666 16.58595 0.13966
1.57213 0.14920 32.32781 0.13973
1.57547 0.19231 45.23981 0.13980
1.57883 0.13662 28.51159 0.13988
1.58221 0.18567 43.20792 0.13995
1.58560 0.20486 48.94452 0.14002
1.58902 0.16422 36.73324 0.14010
1.59245 0.18991 44.41738 0.14017
1.59590 0.15534 34.02606 0.14025
1.59938 0.13301 27.30660 0.14032
1.60287 0.08449 12.73067 0.14040
1.60639 0.11457 21.73238 0.14048
1.60992 0.09856 16.90940 0.14055
1.61348 0.16454 36.68001 0.14063
1.61705 0.16019 35.35451 0.14071
1.62065 0.15157 32.74649 0.14079
1.62427 0.08299 12.15027 0.14087
1.62791 0.17738 40.44802 0.14095
1.63157 0.13267 27.01055 0.14103
1.63525 0.18491 42.66203 0.14111
1.63895 0.11095 20.45007 0.14119
1.64268 0.18969 44.05001 0.14127
1.64643 0.15422 33.38807 0.14135
1.65020 0.13773 28.41832 0.14143
1.65399 0.18460 42.45715 0.14151
1.65780 0.18831 43.54767 0.14160
1.66164 0.15343 33.05876 0.14168
1.66550 0.10137 17.41856 0.14176
